company_id,company_name,sector,pd_baseline,pd_shock,pd_change
VN_ABCD_001,EVN (Electricity of Vietnam),Power,0.1478068656807887,0.2950368951866048,0.1472300295058161
VN_ABCD_002,Vinacomin Power JSC,Power,0.23866267046472467,0.4536594982127848,0.21499682774806012
VN_ABCD_003,International Power Mong Duong,Power,0.18656093989829248,0.3996745006742748,0.2131135607759823
VN_ABCD_004,PVN Power Corporation,Power,0.11474523028334847,0.2037026681636933,0.08895743788034484
VN_ABCD_005,Nghi Son Power LLC,Power,0.1609956376514614,0.3833011378198081,0.22230550016834671
VN_ABCD_007,Vietnam Hydropower JSC,Power,0.04673327910823499,0.05690201072800249,0.010168731619767495
VN_ABCD_008,Trung Nam Group,Power,0.3111376249472725,0.3024249352573274,-0.008712689689945097
VN_ABCD_009,BIM Group,Power,0.23796998983160955,0.2288310553029869,-0.009138934528622661
VN_ABCD_010,Thanh Thanh Cong Group,Power,0.28315742656674203,0.2743452759486036,-0.008812150618138448
VN_ABCD_011,Xuan Thien Group,Power,0.3288971722960897,0.3206471715449851,-0.008250000751104603
VN_ABCD_012,T&T Group,Power,0.23228760072132237,0.2231147868043992,-0.009172813916923178
VN_ABCD_013,Gia Lai Electricity JSC,Power,0.2583515113301599,0.24938085905568363,-0.008970652274476243
